Entity Type,Entity Name,Entity Display Name,Entity Description,Event Volume,Event Query Volume,Event Tags,Event Hidden,Event Dropped,Event First Queried By,Event First Queried,Event Last Queried By,Event Last Queried,Property Name,Property Display Name,Property Description,Property Volume,Property Query Volume,Property Type,Property Example Values,Property Hidden,Property Dropped,Property Required,Property Sensitive
event,AI Dismissed,AI Chat Closed,User closes the AI agent chat panel,,,,False,False,,,,,,,,,,,,,,
event,AI Prompt Sent,AI Message Sent,User sends a message to the AI agent,,,,False,False,,,,,,,,,,,,,,
event,AI Response Sent,AI Response Received,AI agent responds to the user's message,,,,False,False,,,,,,,,,,,,,,
event,Chart Interaction,Chart Changed,User changes chart timeframe type or fullscreen,,,,False,False,,,,,,,,,,,,,,
event,Cinema Mode Toggled,Cinema Mode Toggled,User switches between terminal and cinema display mode,,,,False,False,,,,,,,,,,,,,,
event,Compare Used,Token Compare Opened,User opens the compare modal with selected tokens,,,,False,False,,,,,,,,,,,,,,
event,Content Shared,Content Shared,User shares content via X or downloads/copies an image,,,,False,False,,,,,,,,,,,,,,
event,Error,App Error,React error boundary caught an unhandled crash,,,,False,False,,,,,,,,,,,,,,
event,Launch AI,AI Chat Opened,User opens the AI agent chat panel,,,,False,False,,,,,,,,,,,,,,
event,Profile Updated,Profile Updated,User edits their display name or uploads an avatar,,,,False,False,,,,,,,,,,,,,,
event,PWA Installed,App Installed (PWA),User accepts the browser PWA install prompt,,,,False,False,,,,,,,,,,,,,,
event,Search,Token Search,User searches for a token and selects a result,,,,False,False,,,,,,,,,,,,,,
event,Settings Changed,Settings Changed,User changes a preference such as theme language or currency,,,,False,False,,,,,,,,,,,,,,
event,Sign In,Sign In,User submits the team access password,,,,False,False,,,,,,,,,,,,,,
event,Swap Started,Swap Initiated,User initiates a token trade or swap,,,,False,False,,,,,,,,,,,,,,
event,Token Viewed,Token Viewed,User clicks a token to view its detail page,,,,False,False,,,,,,,,,,,,,,
event,Watchlist Action,Watchlist Updated,"User adds, removes, creates, or deletes a watchlist item",,,,False,False,,,,,,,,,,,,,,
